Pasal,Isi
Pasal 1728,Pemberi titipan wajib mengganti semua biaya yang dikeluarkan penyimpan guna menyelamatkan barang titipan itu serta segala kerugian yang dideritanya karena penitipan itu.
Pasal 1729,Penerima titipan berhak menahan barang titipan selama belum diganti semua ongkos kerugian yang wajib dibayar kepadanya karena penitipan itu.
Pasal 1731,"Sekestrasi terjadi karena suatu perjanjian, bila barang yang dipersengketakan itu diserahkan kepada orang lain oleh seseorang atau lebih dengan sukarela."
Pasal 1732,Tidak diharuskan bahwa sekestrasi berlaku dengan cuma-cuma.
Pasal 1733,Sekestrasi tunduk pada semua aturan yang berlaku bagi penitipan murni kecuali mengenai hal- hal di bawah ini.
Pasal 1734,Sekestrasi dapat mengenai barang-barang tak bergerak dan barang-barang bergerak.
Pasal 1735,Penerima titipan yang ditugaskan melakukan sekestrasi tidak dapat dibebaskan dan kewajiban menyimpan barang titipan itu sebelum sengketa diselesaikan kecuali bila orang-orang yang berkepentingan telah memberi izin untuk itu atau bila ada alasan yang sah.
Pasal 1736,Sekestrasi atas perintah Pengadilan terjadi bila Pengadilan memerintahkan supaya suatu barang dititipkan kepada orang lain selama sengketa tentang barang itu belum dapat diselesaikan.
Pasal 1737,"Sekestrasi dan Pengadilan ditugaskan kepada seorang yang ditunjuk atau mufakat kedua belah pihak yang berperkara, atau kepada orang-orang lain yang diangkat oleh Pengadilan karena jabatan."
Pasal 1738,Pengadilan dapat memerintahkan supaya dilakukan sekestrasi:
Pasal 1739,"Pengangkatan seorang penyimpan oleh Pengadilan, menimbulkan kewajiban-kewajiban timbal balik antara penyita dan penyimpan. Penyimpan wajib memelihara barang yang disita itu sebagai seorang bapak rumah tangga yang baik. Ia wajib menyerahkan barang itu baik untuk dijual guna melunasi piutang penyita, maupun untuk dikembalikan kepada orang yang"
Pasal 1741,Orang yang meminjamkan itu tetap menjadi pemilik mutlak barang yang dipinjamkan itu.
Pasal 1742,"Segala sesuatu yang dipergunakan orang dan tidak dapat musnah karena pemakaiannya, dapat menjadi pokok perjanjian ini."
Pasal 1743,"Semua perjanjian yang lahir dan perjanjian pinjami pakai, beralih kepada ahli waris orang yang meminjamkan dan ahli waris peminjam."
Pasal 1744,"Barangsiapa menerima suatu barang yang dipinjam wajib memelihara barang itu sebagai seorang kepala keluarga yang baik, Ia tidak boleh menggunakan barang itu selain untuk maksud pemakaian yang sesuai dengan sifatnya, atau untuk kepentingan yang telah ditentukan dalam perjanjian. Bila menyimpang dan larangan ini, peminjam dapat dihukum mengganti biaya, kerugian dan bunga, kalau ada alasan untuk itu.Jika peminjam memakai barang itu untuk suatu tujuan lain atau lebih lama dan yang semestinya, maka wajiblah ia bertanggung jawab atas musnahnya barang itu sekalipun musnahnya barang itu disebabkan oleh suatu peristiwa yang tidak disengaja."
Pasal 1745,"Jika barang pinjaman itu musnah karena suatu peristiwa yang tidak disengaja, sedang hal itu dapat dihindarkan oleh peminjam dengan jalan memakai barang kepunyaan sendiri atau jika peminjam tidak mempedulikan barang pinjaman sewaktu terjadinya peristiwa termaksud, sedangkan barang kepunyaannya sendiri diselamatkannya, maka peminjam wajib bertanggung jawab atas musnahnya barang itu."
Pasal 1746,"Jika barang itu telah ditaksir harganya pada waktu dipinjamkan maka musnahnya barang itu meskipun ha! mi terjadi karena peristiwa yang tak disengaja adalah tanggungan peminjam, kecuali kalau telah dijanjikan sebaliknya."
Pasal 1747,"Jika barang itu menjadi berkurang harganya semata-mata karena pemakaian yang sesuai dengan maksud peminjaman barang itu, dan bukan karena kesalahan peminjam maka ia tidak bertanggung jawab atas berkurangnya harga itu."
Pasal 1748,"Jika pemakai telah mengeluarkan biaya untuk dapat memakai barang yang dipinjamnya itu, maka ia tidak dapat menuntut biaya tersebut diganti."
Pasal 1749,"Jika beberapa orang bersama-sama meminjam satu barang, maka mereka masing-masing wajib bertanggung jawab atas keseluruhannya kepada pemberi pinjaman."
Pasal 1751,"Akan tetapi bila dalam jangka waktu itu atau sebelum berakhirnya keperluan untuk memakai barang itu, pemberi pinjaman sangat membutuhkan barangnya dengan alasan yang mendesak dan tidak terduga, maka dengan memperhatikan keadaan, Pengadilan dapat memaksa penunjang untuk mengembalikan barang pinjaman itu kepada pemberi pinjaman."
Pasal 1752,"Jika dalam jangka waktu pemakaian barang pinjaman itu pemakai terpaksa mengeluarkan biaya yang sangat perlu guna menyelamatkan barang pinjaman itu; dan begitu mendesak sehingga oleh pemakai tidak sempat diberitahukan terlebih dahulu kepada pemberi pinjaman, maka pemberi pinjaman ini wajib mengganti biaya itu."
Pasal 1753,"Jika barang yang dipinjamkan itu mempunyai cacat-cacat sedemikian rupa sehingga pemakai orang itu bisa mendapat rugi, sedang pemberi pinjaman harus bertanggung jawab atas semua akibat pemakaian barang."
Pasal 1754,"Pinjam pakai habis adalah suatu perjanjian, yang menentukan pihak pertama menyerahkan sejumlah barang yang dapat habis terpakai kepada pihak kedua dengan syarat bahwa pihak kedua itu akan mengembalikan barang sejenis kepada pihak pertama dalam jumlah dan keadaan yang sama."
Pasal 1755,"Berdasarkan perjanjian tersebut, orang yang menerima pinjaman menjadi pemilik mutlak barang pinjaman itu, dan bila barang ini musnah, dengan cara bagaimanapun maka kerugian itu menjadi tanggungan peminjam."
Pasal 1756,"Utang yang timbul karena peminjaman uang, hanya terdiri dan sejumlah uang yang digariskan dalam perjanjian. Jika sebelum utang dilunasi nilai mata uang naik atau turun, atau terjadi perubahan dalam peredaran uang yang lalu, maka pengembalian uang yang dipinjam itu harus dilakukan dengan uang yang laku pada waktu pelunasannya sebanyak uang yang telah dipinjam, dihitung menurut nilai resmi pada waktu pelunasan itu."
Pasal 1757,"Ketentuan pasal di atas tidak berlaku jika kedua belah pihak menyepakati dengan tegas bahwa uang pinjaman harus dikembalikan dengan uang logam dan jenis dalam jumlah yang sama seperti semula. Dalam hal demikian pihak yang menerima pinjaman harus mengembalikan uang logam dan jenis dan dalam jumlah yang sama,tidak lebih dan tidak kurang. Jika uang logam sejenis sudah tidak cukup lagi dalam peredaran, maka kekurangannya harus diganti dengan uang dan logam yang sama dan sedapat mungkin mendekati kadar logam uang pinjaman itu, sehingga semuanya mengandung Iogam ash yang beratnya sama dengan yang terdapat dalam uang logam pinjaman semula."
Pasal 1758,"Jika yang dipinjamkan itu berupa barang-barang emas atau perak, atau barang-barang lain, maka peminjam harus mengembalikan logam yang sama beratnya dan mutunya dengan yang ía"
Pasal 1759,Pemberi pinjaman tidak dapat meminta kembali barang yang dipinjamkan sebelum lewat waktu yang telah ditentukan di dalam perjanjian.
Pasal 1760,"Jika jangka waktu peminjaman tidak ditentukan maka bila pemberi pinjaman menuntut pengembalian barang pinjaman itu, Pengadilan boleh memberikan sekadar kelonggaran kepada peminjam sesudah mempertimbangkan keadaan."
Pasal 1761,"Jika telah dijanjikan bahwa peminjam barang atau uang akan mengembalikannya bila ía mampu untuk itu, maka kalau pemberi pinjaman menuntut pengembalian barang pinjaman atau barang pinjaman itu, Pengadilan boleh menentukan waktu pengembalian sesudah mempertimbangkan keadaan."
Pasal 1762,Ketentuan Pasal 1753 berlaku juga dalam perjanjian pinjam pakai habis.
Pasal 1764,Jika ia tidak mungkin memenuhi kewajiban itu maka ia wajib membayar harga barang yang dipinjamnya dengan memperhatikan waktu dan tempat pengembalian barang itu menurut perjanjian. Jika waktu dan tempat tidak diperjanjikan maka pengembalian harus dilakukan menurut nilai barang pinjaman tersebut pada waktu dan tempat peminjaman.
Pasal 1765,"Untuk peminjaman uang atau barang yang habis dalam pemakaian, diperbolehkan membuat syarat bahwa atas pinjaman itu akan dibayar bunga."
Pasal 1766,"Barangsiapa sudah menerima suatu pinjaman dan telah membayar bunga yang tidak diperjanjikan dahulu, tidak dapat meminta kembali bunga itu dan juga tidak dapat mengurangkannya dan pinjaman pokok, kecuali jika bunga yang telah dibayar itu melampaui jumlah bunga yang ditetapkan dalam undang-undang; dalam hal ini uang kelebihan itu dapat diminta kembali atau dikurangkan dan pinjaman pokok. Pembayaran bunga yang tidak diperjanjikan tidak mewajibkan debitur untuk membayar bunga terus, tetapi bunga yang diperjanjikan wajib dibayar sampai pada saat pengembalian atau penitipan (konsinyasi) uang pinjaman pokok semuanya walaupun pengembalian atau penitipan uang pinjaman itu dilakukan tatkala sudah lewat waktu pelunasan menurut perjanjian."
Pasal 1767,"Ada bunga menurut penetapan undang-undang, ada pula yang ditetapkan dalam perjanjian. Bunga menurut undang-undang ialah bunga yang ditentukan oleh undang-undang. Bunga yang ditetapkan dalam perjanjian boleh melampaui bunga menurut undang-undang dalam segala hal yang tidak dilarang undang-undang. Besarnya bunga yang ditetapkan dalam perjanjian harus dinyatakan secara tertulis."
Pasal 1768,"Jika pemberi pinjaman memperjanjikan bunga tanpa menentukan besarnya, maka penerima pinjaman wajib membayar bunga menurut undang-undang."
Pasal 1769,"Bukti yang menyatakan pembayaran uang pinjaman pokok tanpa menyebutkan sesuatu tentang pembayaran bunga, memberi dugaan bahwa bunganya telah dilunasi dan peminjam dibebaskan dan kewajiban untuk membayarnya."
Pasal 1770,Perjanjian bunga abadi ialah suatu persetujuan bahwa pihak yang memberikan pinjaman uang akan menerima pembayaran bunga atas sejumlah uang pokok yang tidak akan dimintanya kembali.
Pasal 1771,Bunga ini pada hakikatnya dapat diangsur.
Pasal 1772,Seseorang yang berutang bunga abadi dapat dipaksa mengembalikan uang pokok:
Pasal 1773,"Dalam kedua ha! pertama yang disebut dalam pasal yang lalu, debitur dapat membebaskan diri dan kewajiban mengembalikan uang pokok, jika dalam waktu dua puluh hari terhitung mulai ia diperingatkan dengan perantaraan Hakim, ía membayar angsuran-angsuran yang sudah harus dibayarnya atau memberikan jaminan yang dijanjikan."
Pasal 1774,"Suatu persetujuan untung-untungan ialah suatu perbuatan yang hasilnya, yaitu mengenai untung ruginya, baik bagi semua pihak maupun bagi sementara pihak, tergantung pada suatu kejadian yang belum pasti.Demikian adalah:persetujuan pertanggungan; bunga cagak hidup; perjudian dan pertaruhan.Persetujuan yang pertama diatur dalam Kitab Undang-undang Hukum Dagang."
Pasal 1775,Bunga cagak hidup dapat diadakan dengan suatu persetujuan atas beban atau dengan suatu akta hibah.Bunga cagak hidup dapat diadakan dengan suatu wasiat.
Pasal 1776,"Bunga cagak hidup dapat diadakan atas diri orang yang memberikan pinjaman atau atas diri orang yang diberi manfaat dan bunga tersebut atau pula atas diri seorang pihak ketiga, meskipun orang ini tidak mendapat manfaat daripadanya."
Pasal 1777,Bunga cagak hidup dapat diadakan atas diri satu orang atau lebih.
Pasal 1778,"Bunga cagak hidup dapat diadakan untuk seorang pihak ketiga, meskipun uangnya diberikan oleh orang lain."
Pasal 1779,Bunga cagak hidup yang diadakan atas diri seseorang yang meninggal pada hari persetujuan tidak mempunyai kekuatan hukum.
Pasal 1780,Bunga cagak hidup dapat diadakan dengan perjanjian sampai sedemikian tinggi menurut kehendak kedua belah pihak.
Pasal 1781,"Orang yang atas dirinya diadakan bunga cagak hidup dengan beban, dapat menuntut pembatalan persetujuan itu jika debitur tidak memberikan jaminan yang telah dijanjikan."
Pasal 1782,"Penunggakan pembayaran bunga cagak hidup tidak memberikan hak kepada penerima bunga untuk meminta kembali uang pokok atau barang yang boleh diberikannya untuk dapat menerima bunga itu; ia hanya berhak menuntut debitur membayar bunga yang wajib dibayarnya, menyita kekayaannya untuk melunasi utangnya dan meminta jaminan untuk bunga yang sudah dapat ditagih."
Pasal 1783,Dihapus dengan S. 1906 - 348.
Pasal 1784,"Debitur tidak dapat membebaskan diri dari pembayaran bunga cagak hidup dengan menawarkan pengembalian uang pokok dan dengan berjanji tidak akan menuntut pengembalian bunga yang telah dibayarnya Ia wajib terus-menerus membayar cagak hidup selama hidup orang atau orang-orang yang atas diri mereka telah dijanjikan bunga cagak hidup itu, betapapun beratnya pembayaran bunga itu bagi dirinya."
Pasal 1785,Pemilik bunga cagak hidup hanya berhak atas bunga itu menurut jumlah hari seumur hidup orang yang atas dirinya telah diadakan bunga cagak hidup itu.
Pasal 1786,"Mengadakan penjanjian bahwa suatu bunga cagak hidup takkan tunduk pada suatu penyitaan, tidak diperbolehkan kecuali bila bunga cagak hidup itu diadakan dengan cuma-cuma."
Pasal 1787,Penerima bunga tidak dapat menagih bunga yang sudah harus dibayar selain dengan menyatakan bahwa orang yang atas dirinya telah diperjanjikan bunga cagak hidup itu masih hidup.
Pasal 1788,Undang-undang tidak memberikan hak untuk menuntut secara hukum dalam hal suatu utang yang terjadi karena perjudian atau pertaruhan.
Pasal 1789,"Akan tetapi dalam ketentuan tersebut di atas itu tidak termasuk permainan-permainan yang dapat dipergunakan untuk olah raga, seperti, anggar, lari cepat, dan sebagainya."
Pasal 1790,Ketentuan-ketentuan dalam dua pasal yang lalu tidak boleh digunakan untuk menghindari utang dengan cara pembaruan utang.
Pasal 1791,"Seorang yang secara sukarela membayar kekalahannya dengan uang, sekali-kali tak boleh menuntut kembali uangnya kecuali bila pihak yang menang itu telah melakukan kecurangan atau penipuan."
Pasal 1793,"Kuasa dapat diberikan dan diterima dengan suatu akta umum, dengan suatu surat di bawah tangan bahkan dengan sepucuk surat ataupun dengan lisan. Penerimaan suatu kuasa dapat pula terjadi secara diam-diam dan disimpulkan dari pelaksanaan kuasa itu oleh yang diberi kuasa."
Pasal 1794,"Pemberian kuasa terjadi dengan cuma-cuma, kecuali jika diperjanjikan sebaliknya. Jika dalam hal yang terakhir upahnya tidak ditentukan dengan tegas, maka penerima kuasa tidak boleh meminta upah yang lebih daripada yang ditentukan dalam Pasal 411 untuk wali."
Pasal 1795,"Pemberian kuasa dapat dilakukan secara khusus, yaitu hanya mengenai satu kepentingan tertentu atau lebih, atau secara umum, yaitu meliputi segala kepentingan pemberi kuasa."
Pasal 1796,"Pemberian kuasa yang dirumuskan secara umum hanya meliputi tindakan-tindakan yang menyangkut pengurusan. Untuk memindahtangankan barang atau meletakkan hipotek di atasnya, untuk membuat suatu perdamaian, ataupun melakukan tindakan lain yang hanya dapat dilakukan oleh seorang pemilik, diperlukan suatu pemberian kuasa dengan kata-kata yang tegas."
Pasal 1797,"Penerima kuasa tidak boleh melakukan apa pun yang melampaui kuasanya, kekuasaan yang diberikan untuk menyelesaikan suatu perkara secara damai, tidak mengandung hak untuk menggantungkan penyelesaian perkara pada keputusan wasit."
Pasal 1798,"Orang-orang perempuan dan anak yang belum dewasa dapat ditunjuk kuasa tetapi pemberi kuasa tidaklah berwenang untuk mengajukan suatu tuntutan hukum terhadap anak yang belum dewasa, selain menurut ketentuan-ketentuan umum mengenai perikatan-perikatan yang dibuat oleh anak yang belum dewasa, dan terhadap orang-orang perempuan bersuami yang menerima kuasa tanpa bantuan suami pun ia tak berwenang untuk mengadakan tuntutan hukum selain menurut ketentuan-ketentuan Bab V dan VII Buku Kesatu dari Kitab Undang-undang Hukum Perdata ini."
Pasal 1799,Pemberi kuasa dapat menggugat secara langsung orang yang dengannya penerima kuasa telah melakukan perbuatan hukum dalam kedudukannya dan pula dapat mengajukan tuntutan kepadanya untuk memenuhi persetujuan yang telah dibuat.
Pasal 1800,"Penerima kuasa, selama kuasanya belum dicabut, wajib melaksanakan kuasanya dan bertanggung jawab atas segala biaya, kerugian dan bunga yang timbul karena tidak dilaksanakannya kuasa itu.Begitu pula ia wajib menyelesaikan urusan yang telah mulai dikerjakannya pada waktu pemberi kuasa meninggal dan dapat menimbulkan kerugian jika tidak segera diselesaikannya."
Pasal 1801,"Penerima kuasa tidak hanya bertanggung jawab atas perbuatan-perbuatan yang dilakukan dengan sengaja melainkan juga atas kelalaian-kelalaian yang dilakukan dalam menjalankan kuasanya. Akan tetapi tanggung jawab atas kelalaian-kelalaian orang yang dengan cuma-cuma menerima kuasa, tidaklah seberat tanggung jawab yang diminta dari orang yang menerima kuasa dengan mendapatkan upah."
Pasal 1802,"Penerima kuasa wajib memberi laporan kepada kuasa tentang apa yang telah dilakukan serta memberikan perhitungan tentang segala sesuatu yang diterimanya berdasarkan kuasanya, sekalipun apa yang diterima itu tidak harus dibayar kepada pemberi kuasa."
Pasal 1803,Penerima kuasa bertanggung jawab atas orang lain yang ditunjuknya sebagai penggantinya dalam melaksanakan kuasanya:
Pasal 1804,"Bila dalam satu akta diangkat beberapa penerima kuasa untuk suatu urusan, maka terhadap mereka tidak terjadi suatu perikatan tanggung-menanggung kecuali jika hal itu ditentukan dengan tegas dalam akta."
Pasal 1805,"Penerima kuasa harus membayar bunga atau uang pokok yang dipakainya untuk keperluannya sendiri terhitung dari saat ia mulai memakai uang itu, begitu pula bunga atas uang yang harus diserahkannya pada penutupan perhitungan terhitung dari saat ia dinyatakan lalai melakukan kuasa."
Pasal 1806,"Penerima kuasa yang telah memberitahukan secara sah hal kuasanya kepada orang yang dengannya ia mengadakan suatu persetujuan dalam kedudukan sebagai penerima kuasa, tidak bertanggung jawab atas apa yang terjadi di luar batas kuasa itu, kecuali jika ía secara pribadi mengikatkan diri untuk itu."
Pasal 1808,"Pemberi kuasa wajib mengembalikan persekot dan biaya yang telah dikeluarkan oleh penerima kuasa untuk melaksanakan kuasanya, begitu pula membayar upahnya bila tentang hal ini telah diadakan perjanjian. Jika penerima kuasa tidak melakukan suatu kelalaian, maka pemberi kuasa tidak dapat menghindarkan diri dari kewajiban mengembalikan persekot dan biaya serta membayar upah tersebut di atas, sekalipun penerima kuasa tidak berhasil dalam urusannya itu."
Pasal 1809,Begitu pula pemberi kuasa harus memberikan ganti rugi kepada penerima kuasa atas kerugian- kerugian yang dideritanya sewaktu menjalankan kuasanya asal dalam hal itu penerima kuasa tidak bertindak kurang hati-hati.
Pasal 1810,"Pemberi kuasa harus membayar bunga atas persekot yang telah dikeluarkan oleh penerima kuasa, terhitung mulai hari dikeluarkannya persekot itu."
Pasal 1811,"Jika seorang penerima kuasa diangkat oleh berbagai orang untuk menyelenggarakan suatu urusan yang harus mereka selesaikan secara bersama, maka masing-masing dari mereka bertanggung jawab untuk seluruhnya terhadap penerima kuasa mengenai segala akibat dari pemberian kuasa itu."
Pasal 1812,Penerima kuasa berhak untuk menahan kepunyaan pemberi kuasa yang berada di tangannya hingga kepadanya dibayar lunas segala sesuatu yang dapat dituntutnya akibat pemberian kuasa.
Pasal 1813 Pemberian kuasa berakhir:,dengan penarikan kembali kuasa penerima kuasa;
Pasal 1814,Pemberi kuasa dapat menarik kembali kuasanya bila hal itu dikehendakinya dan dapat memaksa pemegang kuasa untuk mengembalikan kuasa itu bila ada alasan untuk itu.
Pasal 1815,Penarikan kuasa yang hanya diberitahukan kepada penerima kuasa tidak dapat diajukan kepada pihak ketiga yang telah mengadakan persetujuan dengan pihak penerima kuasa karena tidak mengetahui penarikan kuasa itu1 hal ini tidak mengurangi tuntutan hukum dan pemberi kuasa terhadap penerima kuasa.
Pasal 1816,"Pengangkatan seorang penerima kuasa baru untuk menjalankan suatu urusan yang sama, menyebabkan ditariknya kembali kuasa penerima kuasa yang pertama, terhitung mulai hari diberitahukannya pengangkatan itu kepada orang yang disebut belakangan."
Pasal 1817,Pemegang kuasa dapat membebaskan diri dari kuasanya dengan memberitahukan penghentian kepada pemberi kuasa.
Pasal 1818,"Jika pemegang kuasa tidak tahu tentang meninggalnya pemberi kuasa atau tentang suatu sebab lain yang menyebabkan berakhirnya kuasa itu, maka perbuatan yang dilakukan dalam keadaan tidak tahu itu adalah sah."
Pasal 1819,"Bila pemegang kuasa meninggal dunia, maka para ahli warisnya harus memberitahukan hal itu kepada pemberi kuasa jika mereka tahu pemberian kuasa itu, dan sementara itu mengambil tindakan-tindakan yang perlu menurut keadaan bagi kepentingan pemberi kuasa, dengan ancaman mengganti biaya, kerugian dan bunga, jika ada alasan untuk itu."
Pasal 1820,"Penanggungan ialah suatu persetujuan di mana pihak ketiga demi kepentingan kreditur, mengikatkan diri untuk memenuhi perikatan debitur, bila debitur itu tidak memenuhi perikatannya."
Pasal 1821,"Tiada penanggungan bila tiada perikatan pokok yang sah menurut undang-undang. Akan tetapi orang dapat mengadakan penanggungan dalam suatu perikatan, walaupun perikatan itu dapat dibatalkan dengan sanggahan mengenai diri pribadi debitur misalnya dalam hal belum cukup umur."
Pasal 1822,Seorang penanggung tidak dapat mengikatkan diri dalam perjanjian atau dengan syarat-syarat yang lebih berat dari perikatan yang dibuat oleh debitur.
Pasal 1823,"Orang dapat mengangkat diri sebagai penanggung tanpa diminta oleh orang yang mengikatkan diri untuk suatu utang, bahkan juga dapat tanpa tahu orang itu."
Pasal 1824,"Penanggung tidak hanya dapat diduga-duga, melainkan harus dinyatakan secara tegas, penanggungan itu tidak dapat diperluas hingga melebihi ketentuan-ketentuan yang menjadi syarat-syarat sewaktu mengadakannya."
Pasal 1825,"Penanggungan yang tak terbatas untuk suatu perikatan pokok, meliputi segala akibat utangnya, bahkan juga biaya-biaya gugatan yang diajukan terhadap debitur utama dan segala biaya yang dikeluarkan setelah penanggung utang diperingatkan tentang itu."
Pasal 1826,Perikatan-perikatan penanggung beralih kepada para ahli warisnya.
Pasal 1827,"Debitur yang diwajibkan menyediakan seorang penanggung, harus mengajukan seseorang yang cakap untuk mengikatkan diri dalam perjanjian, maupun untuk memenuhi perjanjiannya dan bertempat tinggal di Indonesia."
Pasal 1828,Dihapus dengan S. 1938 - 276.
Pasal 1829,"Bila penanggung yang telah diterima kreditur secara sukarela atau berdasarkan keputusan Hakim kemudian ternyata menjadi tidak mampu, maka haruslah diangkat penanggung baru. Ketentuan ini dapat dikecualikan bila penanggung itu diadakan menurut persetujuan, dengan mana kreditur meminta diadakan penanggung."
Pasal 1830,"Barangsiapa diwajibkan oleh undang-undang atau keputusan Hakim yang telah memperoleh kekuatan hukum yang pasti untuk memberikan seorang penanggung, boleh memberikan jaminan gadai atau hipotek bila ia tidak berhasil mendapatkan penanggung itu."
Pasal 1831,"Penanggung tidak wajib membayar kepada kreditur kecuali debitur lalai membayar utangnya, dalam hal itu pun barang kepunyaan debitur harus disita dan dijual terlebih dahulu untuk melunasi utangnya."
Pasal 1832,Penanggung tidak dapat menuntut supaya barang milik debitur lebih dulu disita dan dijual untuk melunasi utangnya:
Pasal 1833,"Kreditur tidak wajib menyita dan menjual lebih dahulu barang kepunyaan debitur, kecuali bila pada waktu pertama kalinya dituntut di muka Hakim, penanggung mengajukan permohonan untuk itu."
Pasal 1834,Penanggung yang menuntut agar barang kepunyaan debitur disita dan dijual lebih dahulu wajib menunjukkan barang kepunyaan debitur itu kepada kreditur dan membayar lebih dahulu biaya- biaya untuk penyitaan dan penjualan tersebut.
Pasal 1835,"Bila penanggung sesuai dengan pasal yang lalu telah menunjuk barang-barang debitur dan telah membayar biaya yang diperlukan untuk penyitaan dan penjualan, maka kreditur bertanggung jawab terhadap penanggung atas ketidakmampuan debitur yang terjadi kemudian dengan tiadanya tuntutan-tuntutan, sampai sejumlah harga barang-barang yang ditunjuk itu."
Pasal 1836,"Jika beberapa orang telah mengikatkan diri sebagai penanggung untuk seorang debitur yang sama dan untuk utang yang sama, maka masing-masing penanggung terikat untuk seluruh utang itu."
Pasal 1837,"Akan tetapi masing-masing dari mereka, bila tidak melepaskan hak istimewanya untuk meminta pemisahan utangnya, pada waktu pertama kali digugat di muka Hakim, dapat menuntut supaya kreditur lebih dulu membagi piutangnya, dan menguranginya sebatas bagian masing-masing penanggung utang yang terikat secara sah."
Pasal 1838,"Jika kreditur sendiri secara sukarela telah membagi-bagi tuntutannya, maka ia tidak boleh menarik kembali pemisahan utang itu, biarpun beberapa di antara para penanggung berada dalam keadaan tidak mampu sebelum ia membagi-bagi utang itu."
Pasal 1839,"Penanggung yang telah membayar dapat menuntut apa yang telah dibayarnya itu dari debitur utama, tanpa memperhatikan apakah penanggungan itu diadakan dengan atau tanpa setahu debitur utama itu. Penuntutan kembali ini dapat dilakukan baik mengenai uang pokok maupun mengenai bunga serta biaya-biaya.Mengenai biaya-biaya tersebut, penanggung hanya dapat menuntutnya kembali sekedar dalam waktu yang dianggap patut ia telah menyampaikan pemberitahuan kepada debitur utama tentang tuntutan-tuntutan yang ditujukan kepadanya.Penanggung juga berhak menuntut penggantian biaya, kerugian dan bunga bila alasan untuk itu memang ada."
Pasal 1840,"Penanggung yang telah membayar lunas utangnya, demi hukum, menggantikan kreditur dengan segala haknya terhadap debitur semula."
Pasal 1841,"Bila beberapa orang bersama-sama memikul satu utang utama dan masing-masing terikat untuk seluruh utang utama tersebut, maka orang yang mengajukan diri sebagai penanggung untuk mereka semuanya, dapat menuntut kembali semua yang telah dibayarnya dari masing- masing debitur tersebut."
Pasal 1842,"Penanggung yang telah membayar utangnya sekali, tidak dapat menuntutnya kembali dari debitur utama yang telah membayar untuk kedua kalinya bila ia tidak memberitahukan pembayaran yang telah dilakukan itu kepadanya, hal ini tidak mengurangi haknya untuk menuntutnya kembali dari kreditur."
Pasal 1843,"Penanggung dapat menuntut debitur untuk diberi ganti rugi atau untuk dibebaskan dari perikatannya, bahkan sebelum ia membayar utangnya:"
Pasal 1844,"Jika berbagai orang telah mengikatkan diri sebagai penanggung untuk seorang debitur dan untuk utang yang sama, maka penanggung yang telah melunasi utangnya dalam hal yang ditentukan dalam nomor 10 pasal yang lalu, begitu pula bila debitur telah dinyatakan pailit, berhak menuntutnya kembali dari penanggung-penanggung lainnya, masing-masing untuk bagiannya."
Pasal 1845,"Perikatan yang timbul karena penanggungan, hapus karena sebab-sebab yang sama dengan yang menyebabkan berakhirnya perikatan-perikatan Iainnya."
Pasal 1846,"Percampuran utang yang terjadi di antara debitur utama dan penanggung utang, bila yang satu menjadi ahli waris dari yang lain, sekali-kali tidak menggugurkan tuntutan hukum kreditur terhadap orang yang telah mengajukan diri sebagai penanggung dari penanggung itu."
Pasal 1847,"Terhadap kreditur itu, penanggung utang dapat menggunakan segala tangkisan yang dapat dipakai oleh debitur utama dan mengenai utang yang ditanggungnya sendiri."
Pasal 1848,Penanggung dibebaskan dari kewajibannya bila atas kesalahan kreditur ía tidak dapat lagi memperoleh hak hipotek dan hak istimewa kreditur itu sebagai penggantinya.
Pasal 1849,"Bila kreditur secara sukarela menerima suatu barang tak bergerak atau barang lain sebagai pembayaran utang pokok, maka penanggung dibebaskan dari tanggungannya, sekalipun barang itu kemudian harus diserahkan oleh kreditur kepada orang lain berdasarkan putusan Hakim untuk kepentingan pembayaran utang tersebut."
Pasal 1850,"Suatu penundaan pembayaran sederhana yang diizinkan kreditur kepada debitur tidak membebaskan penanggung dari tanggungannya ; tetapi dalam hal demikian, penanggung dapat memaksa debitur untuk membayar utangnya atau membebaskan penanggung dari tanggungannya itu."
Pasal 1851,"Perdamaian adalah suatu persetujuan yang berisi bahwa dengan menyerahkan, menjanjikan atau menahan suatu barang, kedua belah pihak mengakhiri suatu perkara yang sedang diperiksa pengadilan ataupun mencegah timbulnya suatu perkara bila dibuat secara tertulis."
Pasal 1852,"Untuk dapat mengadakan suatu perdamaian, seseorang harus berwenang untuk melepaskan haknya atas hal-hal yang termaktub dalam perdamaian itu."
Pasal 1853,Perdamaian dapat diadakan mengenai kepentingan keperdataan yang timbul dari satu kejahatan atau pelanggaran.
Pasal 1854,Setiap perdamaian hanya menyangkut soal yang termaktub di dalamnya; pelepasan segala hak dan tuntutan yang dituliskan di situ harus diartikan sepanjang hak-hak dan tuntutan-tuntutan itu berhubungan dengan perselisihan yang menjadi sebab perdamaian tersebut.
Pasal 1855,"Setiap perdamaian hanya mengakhiri perselisihan-perselisihan yang termaktub di dalamnya, entah para pihak merumuskan maksud mereka secara khusus atau umum, entah maksud itu dapat disimpulkan sebagai akibat mutlak dari apa yang tertulis itu."
Pasal 1856,Bila seseorang mengadakan suatu perdamaian mengenai suatu hak yang diperolehnya atas usahanya sendiri dan kemudian memperoleh hak yang sama dari orang lain maka hak yang baru ini tidak mempunyai ikatan dengan perdamaian itu.
